Interval start,Interval end,Call count,Attention service code,Attention service name,Bpo id,Bpo name
2019-06-04T12:30:00Z,2019-06-04T13:00:00Z,1,sac,SAC,2,Millenium
2019-06-04T13:00:00Z,2019-06-04T13:30:00Z,1,sac,SAC,1,Avanza
2019-06-04T13:30:00Z,2019-06-04T14:00:00Z,3,sac,SAC,2,Millenium
2019-06-04T14:00:00Z,2019-06-04T14:30:00Z,1,sac,SAC,1,Avanza
2019-06-04T14:00:00Z,2019-06-04T14:30:00Z,2,sac,SAC,2,Millenium
2019-06-04T14:30:00Z,2019-06-04T15:00:00Z,2,sac,SAC,1,Avanza
2019-06-04T14:30:00Z,2019-06-04T15:00:00Z,4,sac,SAC,2,Millenium
2019-06-04T15:00:00Z,2019-06-04T15:30:00Z,3,sac,SAC,2,Millenium
2019-06-04T15:00:00Z,2019-06-04T15:30:00Z,2,sac,SAC,1,Avanza
2019-06-04T15:00:00Z,2019-06-04T15:30:00Z,9,RTR,REVISION_PERIODICA,2,Millenium
2019-06-04T15:00:00Z,2019-06-04T15:30:00Z,3,RTR,REVISION_PERIODICA,1,Avanza
2019-06-04T15:00:00Z,2019-06-04T15:30:00Z,10,ven_servihogar,VENTAS SERVIHOGAR,2,Millenium
2019-06-04T15:00:00Z,2019-06-04T15:30:00Z,4,ven_servihogar,VENTAS SERVIHOGAR,1,Avanza
2019-06-04T15:30:00Z,2019-06-04T16:00:00Z,5,sac,SAC,2,Millenium
2019-06-04T15:30:00Z,2019-06-04T16:00:00Z,1,sac,SAC,1,Avanza
2019-06-04T16:00:00Z,2019-06-04T16:30:00Z,2,sac,SAC,1,Avanza
2019-06-04T16:00:00Z,2019-06-04T16:30:00Z,2,sac,SAC,2,Millenium
2019-06-04T16:30:00Z,2019-06-04T17:00:00Z,45,ven_servihogar,VENTAS SERVIHOGAR,2,Millenium
2019-06-04T16:30:00Z,2019-06-04T17:00:00Z,20,ven_servihogar,VENTAS SERVIHOGAR,1,Avanza
2019-06-04T16:30:00Z,2019-06-04T17:00:00Z,3,sac,SAC,2,Millenium
2019-06-04T16:30:00Z,2019-06-04T17:00:00Z,1,sac,SAC,1,Avanza
2019-06-04T16:30:00Z,2019-06-04T17:00:00Z,1,vip_consumo,VIP E INDUSTRIAS GRAN CONSUMO,1,Avanza
2019-06-04T17:00:00Z,2019-06-04T17:30:00Z,1,com_nuevo,COMERCIAL CLIENTE NUEVO,1,Avanza
2019-06-04T17:00:00Z,2019-06-04T17:30:00Z,1,RTR,REVISION_PERIODICA,1,Avanza
2019-06-04T17:00:00Z,2019-06-04T17:30:00Z,1,ven_servihogar,VENTAS SERVIHOGAR,2,Millenium
2019-06-04T18:30:00Z,2019-06-04T19:00:00Z,2,sac,SAC,2,Millenium
2019-06-04T18:30:00Z,2019-06-04T19:00:00Z,2,vip_consumo,VIP E INDUSTRIAS GRAN CONSUMO,1,Avanza
2019-06-04T20:00:00Z,2019-06-04T20:30:00Z,1,RTR,REVISION_PERIODICA,2,Millenium
2019-06-04T20:30:00Z,2019-06-04T21:00:00Z,1,RTR,REVISION_PERIODICA,2,Millenium
2019-06-04T20:30:00Z,2019-06-04T21:00:00Z,1,sac,SAC,1,Avanza
2019-06-04T20:30:00Z,2019-06-04T21:00:00Z,1,sac,SAC,2,Millenium
2019-06-04T21:00:00Z,2019-06-04T21:30:00Z,1,RTR,REVISION_PERIODICA,1,Avanza
2019-06-04T21:00:00Z,2019-06-04T21:30:00Z,6,sac,SAC,2,Millenium
2019-06-04T21:00:00Z,2019-06-04T21:30:00Z,2,sac,SAC,1,Avanza
2019-06-04T21:00:00Z,2019-06-04T21:30:00Z,2,RTR,REVISION_PERIODICA,2,Millenium
2019-06-04T21:30:00Z,2019-06-04T22:00:00Z,1,sac,SAC,1,Avanza
2019-06-04T21:30:00Z,2019-06-04T22:00:00Z,1,sac,SAC,2,Millenium
2019-06-04T21:30:00Z,2019-06-04T22:00:00Z,1,RTR,REVISION_PERIODICA,2,Millenium
2019-06-04T21:30:00Z,2019-06-04T22:00:00Z,1,RTR,REVISION_PERIODICA,1,Avanza
2019-06-04T22:00:00Z,2019-06-04T22:30:00Z,4,sac,SAC,2,Millenium
2019-06-04T22:00:00Z,2019-06-04T22:30:00Z,3,RTR,REVISION_PERIODICA,2,Millenium
2019-06-04T22:00:00Z,2019-06-04T22:30:00Z,2,sac,SAC,1,Avanza
2019-06-04T22:00:00Z,2019-06-04T22:30:00Z,1,RTR,REVISION_PERIODICA,1,Avanza
2019-06-04T22:30:00Z,2019-06-04T23:00:00Z,2,sac,SAC,2,Millenium
2019-06-04T22:30:00Z,2019-06-04T23:00:00Z,1,sac,SAC,1,Avanza
